country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-01-01,-85,-89,-8,-76,-87,27
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-01-02,-48,-21,8,-50,-29,10
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-01-03,-58,-42,-5,-43,-14,8
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-01-04,-28,-5,-8,-42,-31,12
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-01-05,-26,13,-17,-42,-32,11
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-01-06,-75,-82,21,-67,-81,28
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-01-07,-28,-1,-6,-41,-29,11
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-01-08,-31,-2,-9,-42,-27,11
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-01-09,-38,-9,-3,-41,-8,7
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-01-10,-54,-30,7,-40,-7,6
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-01-11,-26,-7,-8,-39,-25,9
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-01-12,-31,-9,-4,-41,-25,10
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-01-13,-32,-11,6,-40,-26,9
