,Żródło: Dane zabrane na podstawie codziennych raportów Urzędów Wojewódzkich od 23.10,,,,,,,,,,brak danych,,,,dane niepoprawne/pomyłka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Województwo,DOLNOŚLĄSKIE,,,,,,,,KUJAWSKO-POMORSKIE,,,,,,,,LUBELSKIE,,,,,,,,LUBUSKIE,,,,,,,,ŁÓDZKIE,,,,,,,,MAŁOPOLSKIE,,,,,,,,MAZOWIECKIE,,,,,,,,OPOLSKIE,,,,,,,,PODKARPACKIE,,,,,,,,PODLASKIE,,,,,,,,POMORSKIE,,,,,,,,ŚLĄSKIE,,,,,,,,ŚWIĘTOKRZYSKIE,,,,,,,,WARMIŃSKO-MAZURSKIE,,,,,,,,WIELKOPOLSKIE,,,,,,,,ZACHODNIOPOMORSKIE,,,,,,,,POLSKA (SUMA),,,,,,,
Data,Liczba osób hospitalizowanych ,zmiana (d/d),Liczba łóżek dla pacjentów,% zajęte,Liczba zajętych respiratorów (stan ciężki),zmiana (d/d),Liczba respiratorów,% zajęte,Liczba osób hospitalizowanych ,zmiana (d/d),Liczba łóżek dla pacjentów,% zajęte,Liczba zajętych respiratorów (stan ciężki),zmiana (d/d),Liczba respiratorów,% zajęte,Liczba osób hospitalizowanych ,zmiana (d/d),Liczba łóżek dla pacjentów,% zajęte,Liczba zajętych respiratorów (stan ciężki),zmiana (d/d),Liczba respiratorów,% zajęte,Liczba osób hospitalizowanych ,zmiana (d/d),Liczba łóżek dla pacjentów,% zajęte,Liczba zajętych respiratorów (stan ciężki),zmiana (d/d),Liczba respiratorów,% zajęte,Liczba osób hospitalizowanych ,zmiana (d/d),Liczba łóżek dla pacjentów,% zajęte,Liczba zajętych respiratorów (stan ciężki),zmiana (d/d),Liczba respiratorów,% zajęte,Liczba osób hospitalizowanych ,zmiana (d/d),Liczba łóżek dla pacjentów,% zajęte,Liczba zajętych respiratorów (stan ciężki),zmiana (d/d),Liczba respiratorów,% zajęte,Liczba osób hospitalizowanych ,zmiana (d/d),Liczba łóżek dla pacjentów,% zajęte,Liczba zajętych respiratorów (stan ciężki),zmiana (d/d),Liczba respiratorów,% zajęte,Liczba osób hospitalizowanych ,zmiana (d/d),Liczba łóżek dla pacjentów,% zajęte,Liczba zajętych respiratorów (stan ciężki),zmiana (d/d),Liczba respiratorów,% zajęte,Liczba osób hospitalizowanych ,zmiana (d/d),Liczba łóżek dla pacjentów,% zajęte,Liczba zajętych respiratorów (stan ciężki),zmiana (d/d),Liczba respiratorów,% zajęte,Liczba osób hospitalizowanych ,zmiana (d/d),Liczba łóżek dla pacjentów,% zajęte,Liczba zajętych respiratorów (stan ciężki),zmiana (d/d),Liczba respiratorów,% zajęte,Liczba osób hospitalizowanych ,zmiana (d/d),Liczba łóżek dla pacjentów,% zajęte,Liczba zajętych respiratorów (stan ciężki),zmiana (d/d),Liczba respiratorów,% zajęte,Liczba osób hospitalizowanych ,zmiana (d/d),Liczba łóżek dla pacjentów,% zajęte,Liczba zajętych respiratorów (stan ciężki),zmiana (d/d),Liczba respiratorów,% zajęte,Liczba osób hospitalizowanych ,zmiana (d/d),Liczba łóżek dla pacjentów,% zajęte,Liczba zajętych respiratorów (stan ciężki),zmiana (d/d),Liczba respiratorów,% zajęte,Liczba osób hospitalizowanych ,zmiana (d/d),Liczba łóżek dla pacjentów,% zajęte,Liczba zajętych respiratorów (stan ciężki),zmiana (d/d),Liczba respiratorów,% zajęte,Liczba osób hospitalizowanych ,zmiana (d/d),Liczba łóżek dla pacjentów,% zajęte,Liczba zajętych respiratorów (stan ciężki),zmiana (d/d),Liczba respiratorów,% zajęte,Liczba osób hospitalizowanych ,zmiana (d/d),Liczba łóżek dla pacjentów,% zajęte,Liczba zajętych respiratorów (stan ciężki),zmiana (d/d),Liczba respiratorów,% zajęte,Liczba osób hospitalizowanych ,zmiana (d/d),Liczba łóżek dla pacjentów,% zajęte,Liczba zajętych respiratorów (stan ciężki),zmiana (d/d),Liczba respiratorów,% zajęte
23.10,760,n/a,1438,"52,9%",60,n/a,116,"51,7%",534,n/a,1020,"52,4%",41,n/a,78,"52,6%",798,n/a,1160,"68,8%",71,n/a,97,"73,2%",377,n/a,839,"44,9%",16,n/a,46,"34,8%",974,n/a,1823,"53,4%",58,n/a,145,"40,0%",1671,n/a,2153,"77,6%",163,n/a,173,"94,2%",1248,n/a,1935,"64,5%",109,n/a,139,"78,4%",312,n/a,585,"53,3%",24,n/a,33,"72,7%",681,n/a,1134,"60,1%",50,n/a,71,"70,4%",423,n/a,843,"50,2%",37,n/a,43,"86,0%",542,n/a,1017,"53,3%",31,n/a,39,"79,5%",1059,n/a,1575,"67,2%",89,n/a,115,"77,4%",559,n/a,684,"81,7%",46,n/a,72,"63,9%",272,n/a,738,"36,9%",23,n/a,45,"51,1%",924,n/a,1338,"69,1%",59,n/a,158,"37,3%",362,n/a,850,"42,6%",34,n/a,64,"53,1%",11496,n/a,19132,"60,1%",911,n/a,1434,"63,5%"
24.10,765,5,1456,"52,5%",61,1,116,"52,6%",567,33,1157,"49,0%",48,7,98,"49,0%",835,37,1167,"71,6%",76,5,92,"82,6%",410,33,841,"48,8%",20,4,48,"41,7%",1052,78,1861,"56,5%",70,12,144,"48,6%",1667,-4,2143,"77,8%",160,-3,172,"93,0%",1266,18,1935,"65,4%",107,-2,139,"77,0%",347,35,598,"58,0%",22,-2,33,"66,7%",750,69,1203,"62,3%",54,4,73,"74,0%",465,42,877,"53,0%",41,4,43,"95,3%",538,-4,1014,"53,1%",28,-3,38,"73,7%",997,-62,1511,"66,0%",90,1,114,"78,9%",581,22,688,"84,4%",46,0,72,"63,9%",298,26,738,"40,4%",23,0,45,"51,1%",929,5,1387,"67,0%",56,-3,163,"34,4%",419,57,877,"47,8%",45,11,67,"67,2%",11886,390,19453,"61,1%",947,36,1457,"65,0%"
25.10,775,10,1456,"53,2%",61,0,116,"52,6%",606,39,1150,"52,7%",55,7,98,"56,1%",864,29,1167,"74,0%",55,-21,98,"56,1%",418,8,841,"49,7%",25,5,48,"52,1%",1123,71,1882,"59,7%",68,-2,149,"45,6%",1763,96,2228,"79,1%",172,12,185,"93,0%",1295,29,1935,"66,9%",107,0,139,"77,0%",378,31,610,"62,0%",20,-2,33,"60,6%",757,7,1204,"62,9%",56,2,81,"69,1%",454,-11,877,"51,8%",42,1,51,"82,4%",551,13,1037,"53,1%",33,5,39,"84,6%",982,-15,1525,"64,4%",91,1,118,"77,1%",589,8,687,"85,7%",46,0,73,"63,0%",315,17,738,"42,7%",23,0,45,"51,1%",961,32,1390,"69,1%",75,19,167,"44,9%",451,32,883,"51,1%",49,4,67,"73,1%",12282,396,19610,"62,6%",978,31,1507,"64,9%"
26.10,825,50,1551,"53,2%",65,4,119,"54,6%",633,27,1150,"55,0%",53,-2,100,"53,0%",948,84,1209,"78,4%",78,23,111,"70,3%",422,4,1038,"40,7%",24,-1,57,"42,1%",1258,135,2000,"62,9%",73,5,150,"48,7%",1907,144,2280,"83,6%",188,16,192,"97,9%",1450,155,1968,"73,7%",119,12,140,"85,0%",383,5,630,"60,8%",25,5,33,"75,8%",796,39,1248,"63,8%",68,12,84,"81,0%",482,28,911,"52,9%",39,-3,51,"76,5%",562,11,1055,"53,3%",35,2,54,"64,8%",1097,115,1605,"68,3%",111,20,134,"82,8%",704,115,890,"79,1%",51,5,85,"60,0%",324,9,740,"43,8%",23,0,45,"51,1%",1039,78,1547,"67,2%",74,-1,173,"42,8%",515,64,886,"58,1%",51,2,74,"68,9%",13345,1063,20708,"64,4%",1077,99,1602,"67,2%"
27.10,889,64,1529,"58,1%",70,5,119,"58,8%",726,93,1280,"56,7%",69,16,106,"65,1%",968,20,1298,"74,6%",79,1,118,"66,9%",439,17,1038,"42,3%",25,1,56,"44,6%",1212,-46,2004,"60,5%",71,-2,150,"47,3%",1972,65,2421,"81,5%",207,19,219,"94,5%",1529,79,2009,"76,1%",130,11,142,"91,5%",398,15,726,"54,8%",26,1,35,"74,3%",819,23,1257,"65,2%",67,-1,84,"79,8%",452,-30,951,"47,5%",41,2,51,"80,4%",573,11,1175,"48,8%",41,6,60,"68,3%",1245,148,1672,"74,5%",114,3,144,"79,2%",742,38,873,"85,0%",52,1,87,"59,8%",338,14,740,"45,7%",29,6,45,"64,4%",1090,51,1573,"69,3%",77,3,173,"44,5%",539,24,960,"56,1%",52,1,74,"70,3%",13931,586,21506,"64,8%",1150,73,1663,"69,2%"
28.10,974,85,1662,"58,6%",74,4,123,"60,2%",696,-30,1300,"53,5%",69,0,104,"66,3%",1044,76,1324,"78,9%",89,10,120,"74,2%",488,49,1046,"46,7%",31,6,56,"55,4%",1339,127,2005,"66,8%",71,0,152,"46,7%",2003,31,2477,"80,9%",215,8,224,"96,0%",1728,199,2290,"75,5%",150,20,159,"94,3%",436,38,783,"55,7%",26,0,35,"74,3%",813,-6,1311,"62,0%",72,5,89,"80,9%",453,1,951,"47,6%",38,-3,51,"74,5%",585,12,1205,"48,5%",50,9,60,"83,3%",1329,84,1766,"75,3%",121,7,145,"83,4%",750,8,894,"83,9%",50,-2,88,"56,8%",366,28,836,"43,8%",31,2,60,"51,7%",1137,47,1608,"70,7%",68,-9,190,"35,8%",590,51,1009,"58,5%",48,-4,77,"62,3%",14731,800,22467,"65,6%",1203,53,1733,"69,4%"
29.10,1002,28,1781,"56,3%",76,2,128,"59,4%",724,28,1363,"53,1%",81,12,108,"75,0%",1102,58,1445,"76,3%",90,1,127,"70,9%",497,9,853,"58,3%",31,0,42,"73,8%",1292,-47,2046,"63,1%",71,0,151,"47,0%",2072,69,2519,"82,3%",209,-6,224,"93,3%",1845,117,2445,"75,5%",158,8,160,"98,8%",440,4,761,"57,8%",27,1,35,"77,1%",848,35,1415,"59,9%",70,-2,99,"70,7%",574,121,951,"60,4%",43,5,51,"84,3%",632,47,1206,"52,4%",52,2,61,"85,2%",1479,150,1894,"78,1%",135,14,167,"80,8%",792,42,923,"85,8%",50,0,88,"56,8%",360,-6,846,"42,6%",27,-4,60,"45,0%",1182,45,1636,"72,2%",80,12,193,"41,5%",603,13,1017,"59,3%",54,6,83,"65,1%",15444,713,23101,"66,9%",1254,51,1777,"70,6%"
30.10,1017,15,1855,"54,8%",87,11,107,"81,3%",775,51,1431,"54,2%",76,-5,108,"70,4%",1158,56,1509,"76,7%",95,5,127,"74,8%",544,47,927,"58,7%",31,0,45,"68,9%",1332,40,2057,"64,8%",77,6,154,"50,0%",2250,178,2695,"83,5%",208,-1,232,"89,7%",1859,14,2475,"75,1%",161,3,170,"94,7%",464,24,783,"59,3%",27,0,35,"77,1%",883,35,1682,"52,5%",81,11,114,"71,1%",654,80,951,"68,8%",48,5,51,"94,1%",655,23,1196,"54,8%",53,1,60,"88,3%",1536,57,1946,"78,9%",132,-3,173,"76,3%",789,-3,935,"84,4%",53,3,85,"62,4%",373,13,841,"44,4%",32,5,67,"47,8%",1241,59,1724,"72,0%",94,14,195,"48,2%",614,11,1017,"60,4%",50,-4,84,"59,5%",16144,700,24024,"67,2%",1305,51,1807,"72,2%"
