region,date,day of the week,per 1 km ²,population_%,region_DOLNOŚLĄSKIE,region_KUJAWSKO-POMORSKIE,region_LUBELSKIE,region_LUBUSKIE,region_MAZOWIECKIE,region_MAŁOPOLSKIE,region_OPOLSKIE,region_PODKARPACKIE,region_PODLASKIE,region_POLSKA,region_POMORSKIE,region_WARMIŃSKO-MAZURSKIE,region_WIELKOPOLSKIE,region_ZACHODNIOPOMORSKIE,region_ŁÓDZKIE,region_ŚLĄSKIE,region_ŚWIĘTOKRZYSKIE,region_ŚŚ_Gaus_Noise_seed_0,region_ŚŚ_Gaus_Noise_seed_1,region_ŚŚ_Gaus_Noise_seed_2,region_ŚŚ_Gaus_Noise_seed_3,region_ŚŚ_Gaus_Noise_seed_4,region_ŚŚ_Gaus_Noise_seed_5,region_ŚŚ_Gaus_Noise_seed_6,region_ŚŚ_Gaus_Noise_seed_7,region_ŚŚ_Gaus_Noise_seed_8,region_ŚŚ_Gaus_Noise_seed_9,region_ŚŚ_average,region_ŚŚ_weighted_average,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Number_of_people_hospitalized,Engaged_respirator
DOLNOŚLĄSKIE,2020-10-23,0.0,0.2268479588737232,0.0755593631860456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.23,-0.01,-0.3,-0.24,0.08,760.0,60.0
DOLNOŚLĄSKIE,2020-10-24,0.1428571428571428,0.2268479588737232,0.0755593631860456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.37,-0.12,-0.34,-0.1,0.04,765.0,61.0
DOLNOŚLĄSKIE,2020-10-25,0.2857142857142857,0.2268479588737232,0.0755593631860456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.38,-0.23,-0.29,-0.14,0.02,775.0,61.0
DOLNOŚLĄSKIE,2020-10-26,0.4285714285714285,0.2268479588737232,0.0755593631860456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.28,-0.09,-0.32,-0.31,0.1,825.0,65.0
DOLNOŚLĄSKIE,2020-10-27,0.5714285714285714,0.2268479588737232,0.0755593631860456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.32,-0.08,-0.39,-0.32,0.12,889.0,70.0
DOLNOŚLĄSKIE,2020-10-28,0.7142857142857143,0.2268479588737232,0.0755593631860456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.24,-0.06,-0.28,-0.32,0.1,974.0,74.0
DOLNOŚLĄSKIE,2020-10-29,0.8571428571428571,0.2268479588737232,0.0755593631860456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31,-0.06,-0.43,-0.32,0.11,1002.0,76.0
DOLNOŚLĄSKIE,2020-10-30,0.0,0.2268479588737232,0.0755593631860456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.36,-0.06,-0.43,-0.32,0.12,1017.0,87.0
DOLNOŚLĄSKIE,2020-10-31,0.1428571428571428,0.2268479588737232,0.0755593631860456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.41,-0.14,-0.44,-0.16,0.07,1114.0,99.0
DOLNOŚLĄSKIE,2020-11-01,0.2857142857142857,0.2268479588737232,0.0755593631860456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.64,-0.49,-0.5,-0.29,0.06,1114.0,109.0
