region,date,day of the week,region_POLSKA,region_ŚŚ_Gaus_Noise_seed_0,region_ŚŚ_Gaus_Noise_seed_1,region_ŚŚ_Gaus_Noise_seed_2,region_ŚŚ_Gaus_Noise_seed_3,region_ŚŚ_Gaus_Noise_seed_4,region_ŚŚ_Gaus_Noise_seed_5,region_ŚŚ_Gaus_Noise_seed_6,region_ŚŚ_Gaus_Noise_seed_7,region_ŚŚ_Gaus_Noise_seed_8,region_ŚŚ_Gaus_Noise_seed_9,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Number_of_people_hospitalized,Engaged_respirator
POLSKA,2020-06-11,7,1,0,0,0,0,0,0,0,0,0,0,-0.48,-0.75,-0.51,-0.77,0.17,1700.0,75.0
POLSKA,2020-06-12,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.09,-0.35,-0.47,0.08,1629.0,77.0
POLSKA,2020-06-13,2,1,0,0,0,0,0,0,0,0,0,0,-0.17,-0.07,-0.23,0.02,-0.02,1711.0,77.0
POLSKA,2020-06-14,3,1,0,0,0,0,0,0,0,0,0,0,-0.02,0.05,-0.1,0.15,-0.05,1748.0,83.0
POLSKA,2020-06-15,4,1,0,0,0,0,0,0,0,0,0,0,-0.02,0.01,-0.27,-0.2,0.04,1736.0,78.0
POLSKA,2020-06-16,5,1,0,0,0,0,0,0,0,0,0,0,-0.05,0.01,-0.27,-0.2,0.05,1806.0,80.0
POLSKA,2020-06-17,6,1,0,0,0,0,0,0,0,0,0,0,-0.06,-0.01,-0.28,-0.2,0.05,1693.0,76.0
POLSKA,2020-06-18,7,1,0,0,0,0,0,0,0,0,0,0,-0.07,0.0,-0.28,-0.21,0.05,1849.0,72.0
POLSKA,2020-06-19,1,1,0,0,0,0,0,0,0,0,0,0,-0.1,0.0,-0.3,-0.21,0.05,1886.0,72.0
POLSKA,2020-06-20,2,1,0,0,0,0,0,0,0,0,0,0,-0.15,-0.04,-0.24,0.06,0.0,1931.0,72.0
POLSKA,2020-06-21,3,1,0,0,0,0,0,0,0,0,0,0,-0.16,-0.09,-0.24,0.12,0.0,1877.0,71.0
POLSKA,2020-06-22,4,1,0,0,0,0,0,0,0,0,0,0,-0.04,-0.02,-0.3,-0.23,0.05,1899.0,72.0
POLSKA,2020-06-23,5,1,0,0,0,0,0,0,0,0,0,0,0.01,0.06,-0.23,-0.21,0.04,1938.0,68.0
POLSKA,2020-06-24,6,1,0,0,0,0,0,0,0,0,0,0,-0.05,-0.02,-0.27,-0.21,0.05,1965.0,65.0
POLSKA,2020-06-25,7,1,0,0,0,0,0,0,0,0,0,0,-0.01,0.03,-0.22,-0.2,0.03,1974.0,74.0
POLSKA,2020-06-26,1,1,0,0,0,0,0,0,0,0,0,0,-0.03,0.03,-0.21,-0.21,0.03,1933.0,77.0
POLSKA,2020-06-27,2,1,0,0,0,0,0,0,0,0,0,0,-0.13,-0.06,-0.13,0.06,-0.03,1869.0,80.0
POLSKA,2020-06-28,3,1,0,0,0,0,0,0,0,0,0,0,0.42,-0.075,0.03,0.34,-0.07,1845.0,83.0
POLSKA,2020-06-29,4,1,0,0,0,0,0,0,0,0,0,0,-0.08,-0.09,-0.28,-0.23,0.05,1797.0,86.0
POLSKA,2020-06-30,5,1,0,0,0,0,0,0,0,0,0,0,0.03,0.03,-0.2,-0.2,0.03,1811.0,85.0
POLSKA,2020-07-01,6,1,0,0,0,0,0,0,0,0,0,0,0.03,0.02,-0.19,-0.21,0.02,1923.0,78.0
POLSKA,2020-07-02,7,1,0,0,0,0,0,0,0,0,0,0,0.01,0.04,-0.21,-0.22,0.03,1787.0,73.0
POLSKA,2020-07-03,1,1,0,0,0,0,0,0,0,0,0,0,-0.03,0.03,-0.22,-0.22,0.02,1743.0,72.0
POLSKA,2020-07-04,2,1,0,0,0,0,0,0,0,0,0,0,-0.08,-0.02,-0.09,0.06,-0.05,1731.0,73.0
POLSKA,2020-07-05,3,1,0,0,0,0,0,0,0,0,0,0,0.11,0.2,-0.02,0.14,-0.06,1765.0,77.0
POLSKA,2020-07-06,4,1,0,0,0,0,0,0,0,0,0,0,0.02,0.01,-0.23,-0.25,0.03,1790.0,76.0
POLSKA,2020-07-07,5,1,0,0,0,0,0,0,0,0,0,0,0.03,0.03,-0.21,-0.24,0.03,1658.0,73.0
POLSKA,2020-07-08,6,1,0,0,0,0,0,0,0,0,0,0,0.02,0.0,-0.23,-0.24,0.03,1683.0,66.0
POLSKA,2020-07-09,7,1,0,0,0,0,0,0,0,0,0,0,0.03,0.04,-0.21,-0.24,0.03,1687.0,65.0
POLSKA,2020-07-10,1,1,0,0,0,0,0,0,0,0,0,0,-0.01,0.04,-0.2,-0.23,0.01,1597.0,66.0
POLSKA,2020-07-11,2,1,0,0,0,0,0,0,0,0,0,0,-0.07,-0.01,-0.15,0.01,-0.02,1617.0,67.0
POLSKA,2020-07-12,3,1,0,0,0,0,0,0,0,0,0,0,0.21,0.35,0.09,0.19,-0.06,1610.0,65.0
POLSKA,2020-07-13,4,1,0,0,0,0,0,0,0,0,0,0,0.06,0.03,-0.21,-0.26,0.03,1640.0,69.0
POLSKA,2020-07-14,5,1,0,0,0,0,0,0,0,0,0,0,0.06,0.04,-0.19,-0.26,0.02,1581.0,74.0
POLSKA,2020-07-15,6,1,0,0,0,0,0,0,0,0,0,0,0.07,0.04,-0.18,-0.25,0.02,1575.0,73.0
POLSKA,2020-07-16,7,1,0,0,0,0,0,0,0,0,0,0,0.04,0.05,-0.22,-0.26,0.04,1550.0,68.0
POLSKA,2020-07-17,1,1,0,0,0,0,0,0,0,0,0,0,0.01,0.04,-0.2,-0.25,0.02,1604.0,71.0
POLSKA,2020-07-18,2,1,0,0,0,0,0,0,0,0,0,0,-0.06,-0.01,-0.04,0.03,-0.05,1551.0,66.0
POLSKA,2020-07-19,3,1,0,0,0,0,0,0,0,0,0,0,0.18,0.2,0.05,0.11,-0.06,1560.0,67.0
POLSKA,2020-07-20,4,1,0,0,0,0,0,0,0,0,0,0,0.05,0.04,-0.21,-0.28,0.02,1575.0,72.0
POLSKA,2020-07-21,5,1,0,0,0,0,0,0,0,0,0,0,0.07,0.06,-0.19,-0.28,0.02,1607.0,73.0
POLSKA,2020-07-22,6,1,0,0,0,0,0,0,0,0,0,0,0.09,0.05,-0.18,-0.26,0.02,1644.0,73.0
POLSKA,2020-07-23,7,1,0,0,0,0,0,0,0,0,0,0,0.06,0.06,-0.19,-0.27,0.02,1626.0,71.0
POLSKA,2020-07-24,1,1,0,0,0,0,0,0,0,0,0,0,0.01,0.06,-0.18,-0.26,0.01,1617.0,61.0
POLSKA,2020-07-25,2,1,0,0,0,0,0,0,0,0,0,0,-0.05,0.01,-0.02,0.01,-0.06,1594.0,65.0
POLSKA,2020-07-26,3,1,0,0,0,0,0,0,0,0,0,0,0.15,0.2,0.04,0.1,-0.07,1601.0,68.0
POLSKA,2020-07-27,4,1,0,0,0,0,0,0,0,0,0,0,0.07,0.06,-0.19,-0.3,0.02,1625.0,69.0
POLSKA,2020-07-28,5,1,0,0,0,0,0,0,0,0,0,0,0.02,0.04,-0.2,-0.29,0.03,1655.0,61.0
POLSKA,2020-07-29,6,1,0,0,0,0,0,0,0,0,0,0,0.09,0.07,-0.17,-0.29,0.02,1687.0,66.0
POLSKA,2020-07-30,7,1,0,0,0,0,0,0,0,0,0,0,0.09,0.08,-0.16,-0.29,0.02,1694.0,63.0
POLSKA,2020-07-31,1,1,0,0,0,0,0,0,0,0,0,0,0.03,0.06,-0.17,-0.29,0.01,1778.0,72.0
POLSKA,2020-08-01,2,1,0,0,0,0,0,0,0,0,0,0,-0.06,0.0,0.01,-0.02,-0.06,1841.0,74.0
POLSKA,2020-08-02,3,1,0,0,0,0,0,0,0,0,0,0,0.2,0.25,0.08,0.08,-0.07,1835.0,76.0
POLSKA,2020-08-03,4,1,0,0,0,0,0,0,0,0,0,0,0.05,0.04,-0.21,-0.33,0.04,1841.0,74.0
POLSKA,2020-08-04,5,1,0,0,0,0,0,0,0,0,0,0,0.02,0.03,-0.23,-0.33,0.06,1859.0,65.0
