region,date,day of the week,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Liczba osób hospitalizowanych ,Liczba zajętych respiratorów (stan ciężki)
POLSKA,2020-10-23,1,-0.21,0.02,-0.28,-0.19,0.07,11496,911
POLSKA,2020-10-24,2,-0.34,-0.09,-0.3,-0.09,0.05,11886,947
POLSKA,2020-10-25,3,-0.41,-0.15,-0.25,-0.13,0.04,12282,978
POLSKA,2020-10-26,4,-0.26,-0.06,-0.29,-0.28,0.09,13345,1077
POLSKA,2020-10-27,5,-0.28,-0.04,-0.33,-0.28,0.1,13931,1150
POLSKA,2020-10-28,6,-0.24,-0.03,-0.28,-0.29,0.1,14731,1203
POLSKA,2020-10-29,7,-0.28,-0.02,-0.36,-0.29,0.1,15444,1254
POLSKA,2020-10-30,1,-0.3,0.01,-0.33,-0.28,0.1,16144,1305
POLSKA,2020-10-31,2,-0.37,-0.1,-0.37,-0.14,0.07,16427,1371
POLSKA,2020-11-01,3,-0.6,-0.42,-0.45,-0.26,0.07,17196,1453
POLSKA,2020-11-02,4,-0.32,-0.14,-0.41,-0.32,0.12,18142,1551
POLSKA,2020-11-03,5,-0.3,-0.08,-0.38,-0.3,0.11,18665,1627
POLSKA,2020-11-04,6,-0.28,-0.08,-0.41,-0.3,0.12,19114,1615
POLSKA,2020-11-05,7,-0.21,-0.02,-0.38,-0.29,0.11,19471,1705
POLSKA,2020-11-06,1,-0.22,0.0,-0.38,-0.28,0.11,20206,1815
POLSKA,2020-11-07,2,-0.45,-0.13,-0.4,-0.11,0.07,20214,1841
POLSKA,2020-11-08,3,-0.49,-0.25,-0.37,-0.15,0.06,20967,1804
POLSKA,2020-11-09,4,-0.35,-0.11,-0.44,-0.31,0.12,21643,1897
POLSKA,2020-11-10,5,-0.25,0.18,-0.39,-0.32,0.11,21498,1971
POLSKA,2020-11-11,6,-0.71,-0.8,-0.64,-0.81,0.27,21899,2018
POLSKA,2020-11-12,7,-0.32,-0.02,-0.43,-0.33,0.13,22298,2047
POLSKA,2020-11-13,1,-0.35,-0.01,-0.43,-0.31,0.13,22320,2126
POLSKA,2020-11-14,2,-0.4,-0.09,-0.39,-0.09,0.07,22110,2067
POLSKA,2020-11-15,3,-0.45,-0.23,-0.33,-0.14,0.05,22279,2091
POLSKA,2020-11-16,4,-0.34,-0.11,-0.42,-0.29,0.12,22966,2083
POLSKA,2020-11-17,5,-0.34,-0.08,-0.41,-0.29,0.12,22772,2115
POLSKA,2020-11-18,6,-0.33,-0.08,-0.4,-0.29,0.12,22564,2079
POLSKA,2020-11-19,7,-0.34,-0.07,-0.41,-0.29,0.12,22653,2135
POLSKA,2020-11-20,1,-0.35,-0.02,-0.41,-0.27,0.12,22478,2120
POLSKA,2020-11-21,2,-0.4,-0.09,-0.39,-0.09,0.07,22094,2126
POLSKA,2020-11-22,3,-0.56,-0.36,-0.43,-0.16,0.07,22188,2160
POLSKA,2020-11-23,4,-0.34,-0.12,-0.43,-0.28,0.11,22405,2095
POLSKA,2020-11-24,5,-0.33,-0.09,-0.41,-0.28,0.12,22119,2073
POLSKA,2020-11-25,6,-0.3,-0.08,-0.41,-0.27,0.11,21636,2109
POLSKA,2020-11-26,7,-0.31,-0.06,-0.41,-0.27,0.11,21691,2107
POLSKA,2020-11-27,1,-0.32,-0.03,-0.41,-0.25,0.11,21470,2099
POLSKA,2020-11-28,2,-0.25,-0.06,-0.32,-0.04,0.05,21059,2100
POLSKA,2020-11-29,3,-0.55,-0.35,-0.42,-0.14,0.07,21504,2118
POLSKA,2020-11-30,4,-0.19,-0.07,-0.38,-0.25,0.1,21342,2032
POLSKA,2020-12-01,5,-0.22,-0.04,-0.37,-0.25,0.11,20884,2023
POLSKA,2020-12-02,6,-0.21,-0.05,-0.39,-0.25,0.11,20477,1986
POLSKA,2020-12-03,7,-0.22,-0.02,-0.37,-0.25,0.1,20137,1961
POLSKA,2020-12-04,1,-0.22,0.02,-0.36,-0.23,0.1,19956,1904
POLSKA,2020-12-05,2,-0.24,-0.04,-0.29,-0.03,0.05,19363,1900
POLSKA,2020-12-06,3,0.02,1.13,-0.25,0.03,0.03,19917,1881
POLSKA,2020-12-07,4,-0.25,-0.14,-0.39,-0.25,0.1,19917,1835
POLSKA,2020-12-08,5,-0.25,-0.08,-0.39,-0.24,0.11,19459,1800
POLSKA,2020-12-09,6,-0.23,-0.07,-0.39,-0.24,0.1,19124,1771
POLSKA,2020-12-10,7,-0.22,-0.02,-0.35,-0.24,0.1,18928,1768
POLSKA,2020-12-11,1,-0.24,0.0,-0.35,-0.23,0.1,18778,1765
POLSKA,2020-12-12,2,-0.26,-0.06,-0.29,-0.03,0.05,18539,1778
POLSKA,2020-12-13,3,0.03,1.2,-0.26,0.02,0.04,18708,1785
